



---------------------------------------------
start:2024-07-06T17:33:36.068
---------------------------------------------




rank 7 | trajectory 70 of circuit 2 -- done
rank 2 | trajectory 95 of circuit 3 -- done
rank 18 | trajectory 16 of circuit 2 -- done
rank 8 | trajectory 3 of circuit 1 -- done
rank 13 | trajectory 76 of circuit 3 -- done
rank 19 | trajectory 93 of circuit 3 -- done
rank 1 | trajectory 151 of circuit 3 -- done
rank 9 | trajectory 186 of circuit 2 -- done
rank 4 | trajectory 151 of circuit 1 -- done
rank 19 | trajectory 19 of circuit 2 -- done
rank 13 | trajectory 74 of circuit 5 -- done
rank 21 | trajectory 8 of circuit 2 -- done
rank 1 | trajectory 70 of circuit 5 -- done
rank 16 | trajectory 19 of circuit 1 -- done
rank 25 | trajectory 122 of circuit 1 -- done
rank 19 | trajectory 113 of circuit 2 -- done
rank 5 | trajectory 91 of circuit 1 -- done
rank 9 | trajectory 165 of circuit 1 -- done
rank 20 | trajectory 187 of circuit 3 -- done
rank 22 | trajectory 66 of circuit 3 -- done
rank 1 | trajectory 60 of circuit 4 -- done
rank 23 | trajectory 36 of circuit 2 -- done
rank 7 | trajectory 33 of circuit 3 -- done
rank 12 | trajectory 60 of circuit 2 -- done
rank 18 | trajectory 151 of circuit 2 -- done
rank 17 | trajectory 167 of circuit 1 -- done
rank 23 | trajectory 175 of circuit 2 -- done
rank 19 | trajectory 17 of circuit 1 -- done
rank 7 | trajectory 49 of circuit 1 -- done
rank 25 | trajectory 153 of circuit 2 -- done
rank 20 | trajectory 44 of circuit 1 -- done
rank 3 | trajectory 77 of circuit 1 -- done
rank 9 | trajectory 90 of circuit 2 -- done
rank 20 | trajectory 104 of circuit 2 -- done
rank 3 | trajectory 48 of circuit 2 -- done
rank 15 | trajectory 4 of circuit 3 -- done
rank 3 | trajectory 32 of circuit 2 -- done
rank 23 | trajectory 97 of circuit 3 -- done
rank 8 | trajectory 182 of circuit 1 -- done
rank 21 | trajectory 52 of circuit 1 -- done
rank 7 | trajectory 91 of circuit 3 -- done
rank 2 | trajectory 86 of circuit 2 -- done
rank 24 | trajectory 147 of circuit 2 -- done
rank 13 | trajectory 190 of circuit 4 -- done
rank 14 | trajectory 62 of circuit 2 -- done
rank 16 | trajectory 59 of circuit 2 -- done
rank 16 | trajectory 98 of circuit 1 -- done
rank 1 | trajectory 179 of circuit 4 -- done
rank 2 | trajectory 150 of circuit 3 -- done
rank 21 | trajectory 78 of circuit 2 -- done
rank 21 | trajectory 150 of circuit 1 -- done
rank 14 | trajectory 61 of circuit 2 -- done
rank 7 | trajectory 63 of circuit 3 -- done
rank 14 | trajectory 117 of circuit 3 -- done
rank 13 | trajectory 45 of circuit 2 -- done
rank 15 | trajectory 118 of circuit 1 -- done
rank 25 | trajectory 129 of circuit 3 -- done
rank 11 | trajectory 13 of circuit 1 -- done
