┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382
┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382




---------------------------------------------
start:2024-06-03T22:35:47.842
---------------------------------------------




rank 4 | trajectory 182 of circuit 93 -- done
rank 26 | trajectory 60 of circuit 95 -- done
rank 27 | trajectory 161 of circuit 98 -- done
rank 9 | trajectory 53 of circuit 99 -- done
rank 33 | trajectory 179 of circuit 97 -- done
rank 8 | trajectory 130 of circuit 91 -- done
rank 22 | trajectory 139 of circuit 98 -- done
rank 17 | trajectory 133 of circuit 90 -- done
rank 33 | trajectory 124 of circuit 98 -- done
rank 18 | trajectory 40 of circuit 95 -- done
rank 37 | trajectory 53 of circuit 98 -- done
rank 29 | trajectory 155 of circuit 99 -- done
rank 37 | trajectory 146 of circuit 96 -- done
rank 34 | trajectory 122 of circuit 96 -- done
rank 33 | trajectory 44 of circuit 96 -- done
rank 10 | trajectory 101 of circuit 98 -- done
rank 46 | trajectory 39 of circuit 98 -- done
rank 4 | trajectory 58 of circuit 99 -- done
rank 13 | trajectory 37 of circuit 97 -- done
rank 37 | trajectory 147 of circuit 96 -- done
rank 28 | trajectory 151 of circuit 100 -- done
rank 41 | trajectory 160 of circuit 98 -- done
rank 49 | trajectory 163 of circuit 98 -- done
rank 10 | trajectory 138 of circuit 95 -- done
rank 22 | trajectory 45 of circuit 99 -- done
rank 28 | trajectory 116 of circuit 96 -- done
rank 27 | trajectory 153 of circuit 96 -- done
rank 29 | trajectory 74 of circuit 97 -- done
rank 27 | trajectory 41 of circuit 99 -- done
rank 22 | trajectory 14 of circuit 95 -- done
rank 9 | trajectory 162 of circuit 100 -- done
rank 8 | trajectory 184 of circuit 97 -- done
rank 9 | trajectory 69 of circuit 92 -- done
