┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382
┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382




---------------------------------------------
start:2024-05-30T17:00:30.011
---------------------------------------------




rank 0 | trajectory 177 of circuit 1 -- done
rank 0 | trajectory 91 of circuit 1 -- done
rank 0 | trajectory 141 of circuit 1 -- done
rank 0 | trajectory 179 of circuit 1 -- done
rank 1 | trajectory 56 of circuit 1 -- done
rank 0 | trajectory 15 of circuit 1 -- done
rank 0 | trajectory 57 of circuit 1 -- done
rank 0 | trajectory 143 of circuit 1 -- done
rank 1 | trajectory 376 of circuit 1 -- done
rank 0 | trajectory 197 of circuit 1 -- done
rank 0 | trajectory 191 of circuit 1 -- done
rank 1 | trajectory 268 of circuit 1 -- done
rank 1 | trajectory 280 of circuit 1 -- done
rank 1 | trajectory 180 of circuit 1 -- done
rank 0 | trajectory 287 of circuit 1 -- done
rank 1 | trajectory 222 of circuit 1 -- done
rank 0 | trajectory 211 of circuit 1 -- done
rank 1 | trajectory 50 of circuit 1 -- done
rank 1 | trajectory 174 of circuit 1 -- done
rank 0 | trajectory 377 of circuit 1 -- done
rank 0 | trajectory 259 of circuit 1 -- done
rank 1 | trajectory 2 of circuit 1 -- done
rank 0 | trajectory 93 of circuit 1 -- done
rank 0 | trajectory 329 of circuit 1 -- done
rank 1 | trajectory 160 of circuit 1 -- done
rank 1 | trajectory 322 of circuit 1 -- done
rank 1 | trajectory 256 of circuit 1 -- done
rank 1 | trajectory 162 of circuit 1 -- done
rank 1 | trajectory 252 of circuit 1 -- done
rank 0 | trajectory 303 of circuit 1 -- done
rank 0 | trajectory 229 of circuit 1 -- done
rank 0 | trajectory 189 of circuit 1 -- done
rank 0 | trajectory 299 of circuit 1 -- done
rank 0 | trajectory 257 of circuit 1 -- done
rank 0 | trajectory 167 of circuit 1 -- done
rank 1 | trajectory 228 of circuit 1 -- done
rank 1 | trajectory 278 of circuit 1 -- done
rank 0 | trajectory 369 of circuit 1 -- done
rank 0 | trajectory 337 of circuit 1 -- done
rank 1 | trajectory 380 of circuit 1 -- done
rank 0 | trajectory 147 of circuit 1 -- done
rank 1 | trajectory 34 of circuit 1 -- done
rank 1 | trajectory 96 of circuit 1 -- done
rank 1 | trajectory 216 of circuit 1 -- done
rank 1 | trajectory 240 of circuit 1 -- done
rank 1 | trajectory 20 of circuit 1 -- done
rank 1 | trajectory 52 of circuit 1 -- done
rank 0 | trajectory 255 of circuit 1 -- done
rank 0 | trajectory 293 of circuit 1 -- done
rank 1 | trajectory 184 of circuit 1 -- done
rank 1 | trajectory 126 of circuit 1 -- done
rank 0 | trajectory 199 of circuit 1 -- done
rank 1 | trajectory 76 of circuit 1 -- done
rank 1 | trajectory 22 of circuit 1 -- done
rank 1 | trajectory 190 of circuit 1 -- done
rank 1 | trajectory 142 of circuit 1 -- done
rank 1 | trajectory 154 of circuit 1 -- done
rank 0 | trajectory 53 of circuit 1 -- done
rank 0 | trajectory 145 of circuit 1 -- done
rank 1 | trajectory 58 of circuit 1 -- done
rank 1 | trajectory 208 of circuit 1 -- done
rank 1 | trajectory 4 of circuit 1 -- done
rank 1 | trajectory 360 of circuit 1 -- done
rank 1 | trajectory 248 of circuit 1 -- done
rank 1 | trajectory 182 of circuit 1 -- done
rank 1 | trajectory 230 of circuit 1 -- done
rank 0 | trajectory 87 of circuit 1 -- done
rank 1 | trajectory 158 of circuit 1 -- done
rank 1 | trajectory 260 of circuit 1 -- done
rank 1 | trajectory 286 of circuit 1 -- done
rank 1 | trajectory 312 of circuit 1 -- done
rank 1 | trajectory 166 of circuit 1 -- done
rank 1 | trajectory 366 of circuit 1 -- done
rank 1 | trajectory 122 of circuit 1 -- done
rank 1 | trajectory 104 of circuit 1 -- done
