



---------------------------------------------
start:2024-07-05T00:07:28.471
---------------------------------------------




rank 4 | trajectory 1777 of circuit 3 -- done
rank 8 | trajectory 2678 of circuit 1 -- done
rank 5 | trajectory 2127 of circuit 1 -- done
rank 21 | trajectory 3708 of circuit 3 -- done
rank 4 | trajectory 2627 of circuit 3 -- done
rank 12 | trajectory 55 of circuit 2 -- done
rank 22 | trajectory 2358 of circuit 1 -- done
rank 15 | trajectory 3397 of circuit 2 -- done
rank 4 | trajectory 877 of circuit 3 -- done
rank 8 | trajectory 2462 of circuit 1 -- done
rank 22 | trajectory 3125 of circuit 1 -- done
rank 11 | trajectory 1479 of circuit 1 -- done
rank 22 | trajectory 1308 of circuit 3 -- done
rank 1 | trajectory 301 of circuit 2 -- done
rank 22 | trajectory 1958 of circuit 1 -- done
rank 1 | trajectory 3443 of circuit 1 -- done
rank 16 | trajectory 131 of circuit 2 -- done
rank 12 | trajectory 2380 of circuit 1 -- done
rank 20 | trajectory 2791 of circuit 2 -- done
rank 15 | trajectory 1831 of circuit 1 -- done
rank 23 | trajectory 2258 of circuit 1 -- done
rank 24 | trajectory 2342 of circuit 1 -- done
rank 11 | trajectory 579 of circuit 2 -- done
rank 6 | trajectory 3628 of circuit 1 -- done
rank 1 | trajectory 3043 of circuit 2 -- done
rank 17 | trajectory 381 of circuit 1 -- done
rank 24 | trajectory 3709 of circuit 1 -- done
rank 0 | trajectory 2142 of circuit 1 -- done
rank 1 | trajectory 2726 of circuit 3 -- done
rank 11 | trajectory 929 of circuit 1 -- done
rank 4 | trajectory 277 of circuit 3 -- done
rank 7 | trajectory 2461 of circuit 1 -- done
rank 21 | trajectory 2691 of circuit 3 -- done
rank 14 | trajectory 1280 of circuit 1 -- done
rank 24 | trajectory 3109 of circuit 3 -- done
rank 1 | trajectory 51 of circuit 1 -- done
rank 18 | trajectory 3015 of circuit 1 -- done
rank 21 | trajectory 3258 of circuit 1 -- done
rank 12 | trajectory 655 of circuit 2 -- done
rank 2 | trajectory 3543 of circuit 3 -- done
rank 15 | trajectory 1331 of circuit 3 -- done
rank 20 | trajectory 2407 of circuit 2 -- done
rank 3 | trajectory 3593 of circuit 1 -- done
rank 23 | trajectory 1908 of circuit 1 -- done
rank 21 | trajectory 2158 of circuit 1 -- done
rank 21 | trajectory 2608 of circuit 1 -- done
rank 23 | trajectory 3742 of circuit 1 -- done
rank 24 | trajectory 534 of circuit 1 -- done
rank 21 | trajectory 3758 of circuit 2 -- done
rank 12 | trajectory 3063 of circuit 1 -- done
rank 22 | trajectory 3108 of circuit 2 -- done
rank 18 | trajectory 1407 of circuit 1 -- done
rank 5 | trajectory 752 of circuit 1 -- done
rank 1 | trajectory 1926 of circuit 1 -- done
rank 24 | trajectory 9 of circuit 1 -- done
rank 4 | trajectory 652 of circuit 3 -- done
rank 13 | trajectory 3163 of circuit 1 -- done
rank 16 | trajectory 1231 of circuit 2 -- done
rank 3 | trajectory 3210 of circuit 2 -- done
rank 7 | trajectory 2628 of circuit 1 -- done
rank 24 | trajectory 1184 of circuit 2 -- done
rank 4 | trajectory 727 of circuit 2 -- done
rank 16 | trajectory 3564 of circuit 1 -- done
rank 21 | trajectory 208 of circuit 1 -- done
rank 24 | trajectory 2792 of circuit 1 -- done
