0.0	83.14	88.24	90.68	92.19	92.73	93.21	93.64	94.18	93.8	94.37	94.33	94.27	94.23	94.88	94.65	94.41	94.36	94.64	94.82	94.41	95.01	94.49	94.34	94.52	94.72	95.3	94.55	94.84	95.06	95.1	94.96	94.93	95.21	95.5	95.4	94.9	95.21	94.72	94.7	94.92	94.77	94.65	94.86	95.48	94.99	95.18	94.91	95.35	95.09	94.44	94.6	94.15	93.95	94.41	93.66	93.29	93.97	93.92	92.52	91.94	90.61	88.44	82.97	0.0
0.0	83.48	88.45	90.68	91.77	92.5	92.93	93.48	93.77	93.52	93.92	94.07	94.06	94.54	94.78	94.94	94.61	94.11	95.24	94.46	94.66	94.9	94.96	94.95	94.96	95.07	94.68	94.72	94.44	94.51	94.63	93.65	94.25	94.28	94.62	95.07	94.41	94.28	94.9	95.28	94.6	94.49	94.8	94.4	94.61	94.8	95.02	95.14	94.75	95.18	94.72	94.53	94.36	94.38	94.07	93.97	93.96	93.64	93.16	92.6	91.55	90.76	88.59	83.04	0.0
0.0	82.91	88.48	90.77	91.68	92.88	93.63	93.64	93.51	94.21	94.47	93.9	94.34	94.52	94.39	94.37	93.87	94.56	94.72	94.91	94.1	94.93	95.26	94.86	94.91	94.55	95.01	94.23	94.12	94.58	94.81	94.61	94.92	94.57	95.21	94.5	94.31	94.71	94.74	94.61	95.12	94.56	94.84	94.5	94.65	94.23	94.63	94.63	94.97	94.01	94.83	94.38	94.41	94.1	94.11	94.32	93.23	93.36	92.77	92.51	91.64	90.89	87.9	82.88	0.0
0.0	82.76	88.22	90.27	91.84	92.05	92.7	92.57	92.97	93.42	94.08	93.58	94.14	94.22	93.82	93.56	93.84	93.7	94.71	94.65	95.27	94.63	93.74	94.57	94.01	94.1	93.97	94.39	94.39	94.47	94.38	94.84	94.37	94.52	94.09	94.26	94.58	94.19	94.41	94.21	94.29	94.14	94.15	94.28	94.27	94.29	94.65	94.5	94.1	94.87	94.82	94.46	94.27	93.97	93.92	94.13	93.13	93.0	92.62	92.01	91.53	90.02	88.05	83.04	0.0
0.0	83.06	88.17	90.11	91.31	92.03	92.88	93.16	93.05	93.59	93.24	93.59	93.56	93.4	94.14	93.84	94.22	94.17	93.87	93.96	93.95	94.59	94.56	94.18	94.46	94.5	94.4	94.26	94.65	94.37	95.02	94.28	94.5	94.65	94.49	94.44	94.19	94.38	94.1	93.93	94.05	94.5	94.29	94.75	94.65	93.82	94.44	94.07	94.44	94.23	93.71	93.27	94.29	94.22	94.1	93.9	93.6	93.14	92.62	92.48	91.37	90.17	88.24	83.12	0.0
0.0	82.83	88.07	89.78	91.39	91.77	92.87	93.91	93.3	93.9	93.88	94.19	94.17	94.52	95.04	94.53	94.36	94.79	95.2	95.44	94.89	94.98	94.75	95.55	94.66	94.89	95.14	95.14	94.98	95.55	95.08	95.44	95.31	95.29	95.08	95.13	94.9	95.58	95.55	95.09	95.02	95.63	95.21	94.96	94.74	94.86	94.91	94.67	94.48	94.6	94.43	94.56	93.72	93.87	93.85	94.36	92.87	93.25	92.79	92.58	91.85	90.76	87.57	83.49	0.0
0.0	82.84	88.35	90.55	92.07	92.49	93.52	93.59	94.08	94.73	95.08	95.08	94.65	94.78	95.46	95.44	95.32	95.44	95.07	95.75	95.8	95.05	95.47	94.95	95.43	94.8	95.17	95.26	95.29	95.47	95.2	94.77	95.35	95.11	95.38	94.84	94.85	95.23	95.27	95.35	94.86	95.45	95.15	95.22	94.92	95.53	95.55	95.47	95.22	95.53	95.53	94.95	94.46	93.73	94.83	94.33	93.8	93.36	93.11	92.55	91.53	90.08	88.37	82.87	0.0
0.0	82.9	88.85	90.53	91.5	92.17	92.6	93.17	93.57	93.57	94.38	94.21	94.21	94.83	94.42	94.36	93.97	94.44	94.42	94.58	94.12	94.85	95.43	95.15	94.63	94.46	94.42	94.42	94.66	94.35	94.77	95.05	94.93	94.43	95.25	94.97	95.11	95.21	94.7	94.62	94.55	95.04	94.67	93.9	94.24	94.51	94.5	95.01	93.8	94.22	94.05	93.75	94.22	93.08	93.75	93.42	93.78	92.94	92.66	92.47	91.72	90.49	87.49	82.77	0.0
0.0	83.68	88.04	90.34	92.04	92.85	93.46	93.32	93.56	94.39	93.81	93.68	94.3	94.15	94.34	94.39	94.52	94.96	95.07	94.76	94.65	94.41	94.92	94.67	95.09	95.32	95.29	95.14	95.01	94.76	94.85	94.78	95.09	94.94	95.14	95.04	95.13	95.21	95.06	95.37	95.35	95.31	95.49	94.85	94.9	94.87	95.04	94.72	94.71	94.25	94.54	94.37	94.29	94.22	94.19	93.69	93.8	93.75	93.23	92.94	91.7	90.8	88.49	83.02	0.0
0.0	83.01	87.86	90.52	91.84	93.12	93.74	93.57	93.57	93.67	93.7	93.74	93.8	93.99	94.02	94.06	94.35	94.1	94.23	94.49	94.33	94.36	94.61	94.51	94.73	94.98	94.97	94.83	94.8	94.77	95.15	94.5	95.43	95.48	95.23	95.25	94.71	94.86	94.84	94.89	94.92	94.59	94.64	93.9	94.31	94.54	94.08	94.29	94.92	93.93	94.36	93.81	93.51	93.89	93.81	93.75	93.7	93.19	93.03	92.84	92.14	90.79	88.29	83.12	0.0
